ID,TownID,NAME10,NAMELSAD10,Pop2018,Model_7,Model_R
0,1,Bethel,Bethel town,19714,342.4569152,351.6594444
1,2,Bridgeport,Bridgeport town,144900,4328.648091,4551.087352
2,3,Brookfield,Brookfield town,17002,224.1860732,189.4178944
3,4,Danbury,Danbury town,84730,2250.963801,2395.404922
4,5,Darien,Darien town,21753,312.9505203,274.5013166
5,6,Easton,Easton town,7517,63.28383241,32.73846897
6,7,Fairfield,Fairfield town,61952,951.6360834,954.8303113
7,8,Greenwich,Greenwich town,62727,1110.018946,843.6791489
8,9,Monroe,Monroe town,19470,200.107531,167.9541017
9,10,New Canaan,New Canaan town,20213,263.9202453,207.2528001
10,11,New Fairfield,New Fairfield town,13877,166.9598573,156.8234865
11,12,Newtown,Newtown town,27774,372.467067,410.6425026
12,13,Norwalk,Norwalk town,89047,2475.656992,2318.942473
13,14,Redding,Redding town,9125,106.7647291,73.22647677
14,15,Ridgefield,Ridgefield town,25008,323.8342598,266.7836181
15,16,Shelton,Shelton town,41097,850.1696722,984.0238676
16,17,Sherman,Sherman town,3614,26.431897,17.04804844
17,18,Stamford,Stamford town,129775,3957.411376,4806.059346
18,19,Stratford,Stratford town,51967,1121.883076,1172.827728
19,20,Trumbull,Trumbull town,35802,719.3705007,734.3476043
20,21,Weston,Weston town,10247,113.8799663,103.8424925
21,22,Westport,Westport town,28115,428.3535411,406.5957132
22,23,Wilton,Wilton town,18397,288.0907064,240.7822544
23,24,Bozrah,Bozrah town,2537,31.83752103,7.569540025
24,25,Colchester,Colchester town,15936,167.6186897,64.76277693
25,26,East Lyme,East Lyme town,18645,324.6589789,157.8645032
26,27,Franklin,Franklin town,1933,21.9799818,5.453664763
27,28,Griswold,Griswold town,11591,139.8164022,90.22619033
28,29,Groton,Groton town,38692,555.2467876,583.2180934
29,30,Lebanon,Lebanon town,7207,88.98774042,63.48175856
30,31,Ledyard,Ledyard town,14736,176.8785517,71.98256668
31,32,Lisbon,Lisbon town,4248,47.48206829,9.782294312
32,33,Lyme,Lyme town,2338,22.88631116,2.558862435
33,34,Montville,Montville town,18716,794.1324682,1961.552558
34,35,New London,New London town,26939,430.4199303,273.5322481
35,36,North Stonington,North Stonington town,5243,56.68497206,16.66922362
36,37,Norwich,Norwich town,39136,498.8619028,258.496613
37,38,Old Lyme,Old Lyme town,7366,84.53790972,20.45534531
38,39,Preston,Preston town,4638,60.42791382,33.55492995
39,40,Salem,Salem town,4123,46.01438406,5.971885727
40,41,Sprague,Sprague town,2889,29.12602546,4.670546223
41,42,Stonington,Stonington town,18449,211.6110728,9.267729185
42,43,Voluntown,Voluntown town,2535,27.37513883,9.579406939
43,44,Waterford,Waterford town,18887,354.0018406,201.2187507
44,45,Ashford,Ashford town,4261,47.78727532,55.96397836
45,46,Brooklyn,Brooklyn town,8280,78.09624223,70.22946529
46,47,Canterbury,Canterbury town,5100,47.66755493,17.75147534
47,48,Chaplin,Chaplin town,2256,17.50337069,3.541944016
48,49,Eastford,Eastford town,1790,18.22699154,10.03343258
49,50,Hampton,Hampton town,1853,13.48368556,2.424287553
50,51,Killingly,Killingly town,17287,118.5201696,72.25356378
51,52,Plainfield,Plainfield town,15173,136.674842,74.2219601
52,53,Pomfret,Pomfret town,4204,35.04772646,13.7824926
53,54,Putnam,Putnam town,9395,71.82428971,31.84933255
54,55,Andover,Andover town,3231,30.6111761,9.770068393
55,56,Bolton,Bolton town,4890,55.72443059,25.34487556
56,57,Columbia,Columbia town,5385,59.7755003,26.54110886
57,58,Coventry,Coventry town,12414,133.0087906,90.20950747
58,59,Ellington,Ellington town,16299,206.410554,155.2804444
59,60,Hebron,Hebron town,9482,93.01339233,48.7290614
60,61,Mansfield,Mansfield town,25817,218.0711048,117.6877207
61,62,Scotland,Scotland town,1685,13.19709796,1.551512207
62,63,Sterling,Sterling town,3780,22.1757192,2.738170749
63,64,Thompson,Thompson town,9395,82.77367377,95.26054676
64,65,Windham,Windham town,24706,458.0655369,729.7336044
65,66,Woodstock,Woodstock town,7862,62.03658578,78.7216998
66,67,Somers,Somers town,10834,395.6904081,339.1664775
67,68,Stafford,Stafford town,11884,227.0874358,192.509326
68,69,Tolland,Tolland town,14655,159.447161,47.4602986
69,70,Union,Union town,840,10.11389116,5.517471038
70,71,Vernon,Vernon town,29303,418.0136596,281.0904166
71,72,Willington,Willington town,5887,56.33614736,37.67711466
72,73,Avon,Avon town,18302,251.9535738,254.4132894
73,74,Berlin,Berlin town,20432,284.9578655,279.523934
74,75,Bloomfield,Bloomfield town,21301,648.5578017,636.5086425
75,76,Bristol,Bristol town,60032,918.2328984,863.1242337
76,77,Burlington,Burlington town,9665,73.02508537,30.29280134
77,78,Canton,Canton town,10270,155.0144843,135.4134836
78,79,East Granby,East Granby town,5147,46.11610973,10.03916304
79,80,East Hartford,East Hartford town,49998,1263.89685,1487.398523
80,81,East Windsor,East Windsor town,11375,246.8452565,168.1532846
81,82,Enfield,Enfield town,44466,1247.453543,2960.645432
82,83,Farmington,Farmington town,25506,371.760793,388.7034659
83,84,Glastonbury,Glastonbury town,34491,545.3406953,567.7074583
84,85,Granby,Granby town,11375,101.7513123,42.16538138
85,86,Hartford,Hartford town,122587,3393.88219,3654.954941
86,87,Hartland,Hartland town,2120,17.93734185,7.766977115
87,88,Manchester,Manchester town,57699,1193.619833,1476.923072
88,89,Marlborough,Marlborough town,6358,135.1713073,143.2273364
89,90,New Britain,New Britain town,72453,1510.205946,1658.724803
90,91,Newington,Newington town,30112,586.561288,554.3237307
91,92,Plainville,Plainville town,17623,269.8784344,269.4285768
92,93,Rocky Hill,Rocky Hill town,20145,526.1614293,450.8710764
93,94,Simsbury,Simsbury town,24979,265.4249251,169.8859753
94,95,Southington,Southington town,43807,582.6093198,560.1882397
95,96,South Windsor,South Windsor town,26054,377.2413273,429.2776898
96,97,Suffield,Suffield town,15743,274.4205291,341.6952997
97,98,West Hartford,West Hartford town,62939,1082.565907,872.2261895
98,99,Wethersfield,Wethersfield town,26082,413.0690004,290.0784356
99,100,Windsor,Windsor town,28760,805.9055441,840.8339609
100,101,Windsor Locks,Windsor Locks town,12876,213.0196778,113.3680165
101,102,Chester,Chester town,4229,76.15250265,66.18175513
102,103,Clinton,Clinton town,12950,126.0428473,82.24904412
103,104,Cromwell,Cromwell town,13905,220.1215058,227.6541059
104,105,Deep River,Deep River town,4463,40.65960749,19.82946377
105,106,Durham,Durham town,7195,80.01009574,96.65535639
106,107,East Haddam,East Haddam town,8988,82.6282626,-17.25238328
107,108,East Hampton,East Hampton town,12854,133.8188634,113.1291837
108,109,Essex,Essex town,6674,100.4191628,199.7942408
109,110,Haddam,Haddam town,8222,73.53495377,34.38027531
110,111,Killingworth,Killingworth town,6370,43.30039307,-4.877235346
111,112,Middlefield,Middlefield town,4380,43.80100116,40.01258674
112,113,Middletown,Middletown town,46146,892.2660923,941.298783
113,114,Old Saybrook,Old Saybrook town,10087,206.284172,296.0892976
114,115,Portland,Portland town,9305,131.808449,131.4723578
115,116,Westbrook,Westbrook town,6914,69.91904009,29.36750373
116,117,Barkhamsted,Barkhamsted town,3624,42.3021474,27.29956567
117,118,Bethlehem,Bethlehem town,3422,25.55649774,16.1940454
118,119,Bridgewater,Bridgewater town,1641,13.9379407,12.25786835
119,120,Canaan,Canaan town,1055,3.109536781,0.548535325
120,121,Colebrook,Colebrook town,1405,8.377641343,3.849509553
121,122,Cornwall,Cornwall town,1368,10.2767199,6.276098188
122,123,Goshen,Goshen town,2879,17.91273736,9.022974776
123,124,Harwinton,Harwinton town,5430,55.49638179,48.37728116
124,125,Kent,Kent town,2785,15.94179665,8.599843755
125,126,Litchfield,Litchfield town,8127,73.33409938,75.37751741
126,127,Morris,Morris town,2262,22.87820682,14.50156855
127,128,New Hartford,New Hartford town,6685,55.84792988,26.34405753
128,129,New Milford,New Milford town,26974,375.9099873,294.0998208
129,130,Norfolk,Norfolk town,1640,17.27530169,13.43191202
130,131,North Canaan,North Canaan town,3254,13.70843155,6.720048998
131,132,Plymouth,Plymouth town,11645,129.6636975,100.0894655
132,133,Roxbury,Roxbury town,2160,16.23539814,8.491337041
133,134,Salisbury,Salisbury town,3598,17.96431825,14.43041421
134,135,Sharon,Sharon town,2703,18.0357632,-3.182140258
135,136,Thomaston,Thomaston town,7560,88.4960573,59.76914701
136,137,Torrington,Torrington town,34228,694.5522389,708.382829
137,138,Warren,Warren town,1399,9.433522467,5.281815805
138,139,Washington,Washington town,3434,33.59070947,23.41782404
139,140,Watertown,Watertown town,21641,243.1800645,199.7603921
140,141,Winchester,Winchester town,10655,98.30320479,76.55550343
141,142,Woodbury,Woodbury town,9537,88.63091537,73.37286025
142,143,Ansonia,Ansonia town,18721,373.3125506,388.5671641
143,144,Beacon Falls,Beacon Falls town,6182,76.40800267,52.76568746
144,145,Bethany,Bethany town,5479,71.65033549,112.602649
145,146,Branford,Branford town,28005,475.765189,468.2473711
146,147,Cheshire,Cheshire town,29179,369.1055907,440.8582398
147,148,Derby,Derby town,12515,226.0794298,209.0676624
148,149,East Haven,East Haven town,28699,557.4314489,569.6022913
149,150,Guilford,Guilford town,22216,207.933128,121.6509025
150,151,Hamden,Hamden town,60940,1341.176084,1466.86791
151,152,Madison,Madison town,18106,237.5647504,209.3757962
152,153,Meriden,Meriden town,59540,1208.400766,1311.229287
153,154,Middlebury,Middlebury town,7731,87.31064843,104.9601463
154,155,Milford,Milford town,54661,930.9674495,907.7126652
155,156,Naugatuck,Naugatuck town,31288,530.6947769,470.3911605
156,157,New Haven,New Haven town,130418,3302.448738,3393.997672
157,158,North Branford,North Branford town,14158,150.2957114,92.87123376
158,159,North Haven,North Haven town,23691,409.1598468,528.0068922
159,160,Orange,Orange town,13949,195.2957395,220.549001
160,161,Oxford,Oxford town,13226,139.3682341,107.8617908
161,162,Prospect,Prospect town,9790,105.3270662,82.28019162
162,163,Seymour,Seymour town,16509,304.8955436,274.8693505
163,164,Southbury,Southbury town,19656,282.7547356,291.2188274
164,165,Wallingford,Wallingford town,44535,716.1767909,715.7433093
165,166,Waterbury,Waterbury town,108093,2526.656272,2498.128282
166,167,West Haven,West Haven town,54879,1319.113374,1238.260072
167,168,Wolcott,Wolcott town,16649,190.1941284,173.4544255
168,169,Woodbridge,Woodbridge town,8805,182.9786334,130.5789163
